@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
c,97,0,4,k,b1,false,3,2,0,rv,4
b2,4,1,0,k,k,true,1,1,0,fp,1
b2,12,2,0,b2,k,true,1,2,0,tn,2
f,68,2,1,b2,b2,true,1,2,0,tn,3
k,4,0,0,k,k,false,1,1,0,fp,0
f,7,0,1,k,b2,false,1,1,0,fp,1
b2,16,1,1,c2,k,true,2,2,0,fp,2
b2,48,2,1,b2,k,true,2,3,0,tn,3
c,25,0,2,c2,b2,true,2,1,0,fp,2
b1,36,1,2,c2,k,true,3,2,0,tn,3
k,30,1,1,b2,c2,false,1,2,0,fp,2
f,45,1,2,k,b1,false,1,2,0,fp,3
b2,12,2,0,b2,k,true,1,2,0,fp,2
k,4,0,0,k,k,true,1,2,0,fp,0
b2,4,1,0,k,k,true,1,2,0,tn,1
b1,12,2,0,b2,k,true,1,2,0,rv,2
k,4,0,0,k,k,false,0,2,2,fp,0
k,4,0,0,k,k,false,0,2,2,tn,0
b2,4,1,0,k,k,false,0,3,2,rv,1
b2,12,2,0,b2,k,true,1,1,2,fp,2
k,36,2,0,b2,k,true,1,2,2,tn,2
f,43,2,1,k,b1,true,1,2,2,rv,3
k,12,1,0,b2,k,true,2,2,0,fp,1
b1,12,2,0,k,k,true,2,3,0,tn,2
k,24,2,0,b1,k,true,2,3,2,rv,2
k,12,1,0,b2,k,true,1,2,0,fp,1
c,20,1,1,k,b1,true,2,2,0,tn,2
f,39,1,2,c2,b1,true,2,2,2,rv,3
k,10,0,1,c2,b2,false,2,2,2,fp,1
b2,10,1,1,k,k,false,2,3,2,tn,2
b1,12,2,0,b2,k,true,1,1,0,fp,2
k,24,2,0,b1,k,true,1,2,0,tn,2
f,29,2,1,k,b1,true,2,3,0,rv,3
b1,4,1,0,k,k,false,1,1,0,fp,1
k,8,1,0,b1,c2,false,2,2,2,tn,1
b1,8,2,0,k,k,false,3,2,2,rv,2
k,4,0,0,k,k,false,0,2,3,fp,0
c,8,0,1,k,b2,false,0,2,3,fp,1
b1,12,1,1,c2,b2,false,0,2,3,tn,2
b1,24,2,1,b1,c2,false,1,2,4,rv,3
b1,12,2,0,b2,k,true,2,1,2,fp,2
k,24,2,0,b1,k,true,2,2,2,tn,2
c,29,2,1,k,b1,true,2,3,2,rv,3
k,12,1,0,b2,c2,false,1,1,0,fp,1
k,12,1,0,k,k,false,1,2,0,tn,1
f,21,1,1,k,b2,false,1,2,0,tn,2
k,14,0,1,c2,k,true,1,2,2,fp,1
f,24,0,2,k,b2,true,2,2,2,tn,2
k,14,0,1,c2,b2,false,1,2,0,fp,1
k,14,0,1,k,k,false,1,2,2,tn,1
f,26,0,2,k,b2,false,1,2,2,tn,2
k,4,0,0,k,k,false,1,1,2,fp,0
k,4,0,0,k,k,false,2,2,2,tn,0
